type,title,release_year,rating,listed_in,movie_duration,series_duration,cluster,sub_cluster
Movie,Brian Regan: On the Rocks,2021,TV-G,Stand-Up Comedy,58.0,0,2,5.0
Movie,Made You Look: A True Story About Fake Art,2020,TV-14,"Documentaries, International Movies",90.0,0,2,12.0
Movie,Pelé,2021,TV-14,"Documentaries, International Movies, Sports Movies",109.0,0,2,12.0
Movie,Red,2021,TV-14,"Dramas, International Movies",143.0,0,2,15.0
TV Show,Zindagi in Short,2020,TV-MA,"International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,The Conjuring,2013,R,"Horror Movies, Thrillers",112.0,0,2,11.0
Movie,The Conjuring 2,2016,R,Horror Movies,134.0,0,2,11.0
TV Show,Vincenzo,2021,TV-14,"International TV Shows, TV Comedies, TV Dramas",0.0,1,3,17.0
Movie,Classmates Minus,2020,TV-MA,"Comedies, Dramas, Independent Movies",123.0,0,2,3.0
Movie,Fate: The Winx Saga - The Afterparty,2021,TV-14,"Comedies, Dramas",36.0,0,2,12.0
Movie,Operation Finale,2018,PG-13,"Dramas, Thrillers",123.0,0,2,9.0
Movie,Wave of Cinema: Surat dari Timur,2020,TV-G,"Documentaries, International Movies, Music & Musicals",58.0,0,2,18.0
Movie,I Care a Lot,2021,R,"Comedies, LGBTQ Movies, Thrillers",118.0,0,2,11.0
Movie,Love,2020,TV-14,"Dramas, Independent Movies, International Movies",91.0,0,2,15.0
Movie,Perú: Tesoro escondido,2017,TV-PG,"Documentaries, International Movies",76.0,0,2,8.0
TV Show,Pitta Kathalu,2021,TV-MA,"International TV Shows, TV Dramas",0.0,1,3,2.0
TV Show,Tribes of Europa,2021,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",0.0,1,3,2.0
Movie,Eeb Allay Ooo!,2019,TV-MA,"Comedies, Dramas, Independent Movies",97.0,0,2,3.0
TV Show,"Hello, Me!",2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,1,3,17.0
Movie,No Escape Room,2018,TV-14,Horror Movies,85.0,0,2,0.0
TV Show,Sisyphus,2021,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",0.0,1,3,10.0
TV Show,Thus Spoke Kishibe Rohan,2021,TV-MA,"Anime Series, International TV Shows",0.0,1,3,9.0
TV Show,Amend: The Fight for America,2021,TV-MA,Docuseries,0.0,1,3,14.0
TV Show,Behind Her Eyes,2021,TV-MA,"British TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
TV Show,MeatEater,2021,TV-14,"Docuseries, Reality TV, Science & Nature TV",0.0,4,0,0.0
Movie,The Most Unknown,2018,TV-PG,Documentaries,92.0,0,2,8.0
Movie,Animals on the Loose: A You vs. Wild Movie,2021,TV-PG,Children & Family Movies,139.0,0,2,1.0
Movie,Awara Paagal Deewana,2002,TV-14,"Action & Adventure, Comedies, Dramas",162.0,0,1,1.0
TV Show,Good Girls,2020,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",0.0,3,3,16.0
Movie,The Resurrection of Gavin Stone,2017,PG,"Children & Family Movies, Comedies, Dramas",92.0,0,2,2.0
TV Show,Booba,2021,TV-Y7,"Kids' TV, TV Comedies",0.0,4,0,0.0
Movie,"My Teacher, My Obsession",2018,TV-14,Thrillers,86.0,0,2,0.0
TV Show,The Crew,2021,TV-14,TV Comedies,0.0,1,3,17.0
Movie,Namaste Wahala,2021,TV-14,"Comedies, Dramas, International Movies",107.0,0,2,4.0
Movie,Monsoon,2020,TV-MA,"Dramas, Independent Movies, LGBTQ Movies",85.0,0,2,3.0
TV Show,Buried by the Bernards,2021,TV-14,Reality TV,0.0,1,3,5.0
TV Show,Chappelle's Show,2005,TV-MA,TV Comedies,0.0,2,3,18.0
Movie,Hate by Dani Rovira,2021,TV-MA,Stand-Up Comedy,83.0,0,2,5.0
Movie,Mundina Nildana,2019,TV-MA,"Dramas, International Movies, Romantic Movies",104.0,0,2,7.0
TV Show,Nadiya Bakes,2021,TV-G,"British TV Shows, International TV Shows, Reality TV",0.0,1,3,5.0
Movie,To All The Boys: Always And Forever,2021,TV-14,"Comedies, Romantic Movies",116.0,0,2,4.0
Movie,Xico's Journey,2021,TV-Y7,Children & Family Movies,87.0,0,2,16.0
TV Show,Capitani,2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
TV Show,El Chema,2016,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure",0.0,1,3,11.0
Movie,Growing up and other problems,2018,TV-14,"Comedies, Dramas, International Movies",91.0,0,2,4.0
Movie,Layla Majnun,2020,TV-14,"Dramas, International Movies, Romantic Movies",119.0,0,2,15.0
Movie,Middle of Nowhere,2012,R,"Dramas, Independent Movies, Romantic Movies",102.0,0,2,10.0
Movie,Red Dot,2021,TV-MA,"International Movies, Thrillers",86.0,0,2,13.0
Movie,Squared Love,2021,TV-14,"Comedies, International Movies, Romantic Movies",102.0,0,2,4.0
Movie,This Is the Life,2008,TV-MA,"Documentaries, Music & Musicals",98.0,0,2,17.0
TV Show,Crime Scene: The Vanishing at the Cecil Hotel,2021,TV-MA,"Crime TV Shows, Docuseries",0.0,1,3,14.0
Movie,The Misadventures of Hedi and Cokeman,2021,TV-MA,"Comedies, International Movies",99.0,0,2,6.0
Movie,The World We Make,2019,PG,"Dramas, Romantic Movies",108.0,0,2,9.0
TV Show,Five Came Back: The Reference Films,1945,TV-MA,TV Shows,0.0,1,1,0.0
TV Show,ICarly,2008,TV-G,"Kids' TV, TV Comedies",0.0,2,3,13.0
Movie,War Dogs,2016,R,"Comedies, Dramas",114.0,0,2,10.0
Movie,Monster Run,2020,TV-14,"Action & Adventure, International Movies",104.0,0,2,0.0
TV Show,The Sinner,2020,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",0.0,3,3,16.0
Movie,Blanche Gardin: I talk to myself,2017,TV-MA,Stand-Up Comedy,88.0,0,2,5.0
Movie,Doob: No Bed of Roses,2017,TV-PG,"Dramas, Independent Movies, International Movies",104.0,0,2,1.0
TV Show,Hache,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.0,2,3,11.0
TV Show,Invisible City,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,Little Big Women,2020,TV-14,"Dramas, International Movies",123.0,0,2,15.0
Movie,Malcolm & Marie,2021,R,"Dramas, Independent Movies",106.0,0,2,10.0
Movie,Space Sweepers,2021,TV-MA,"Action & Adventure, Dramas, International Movies",138.0,0,2,7.0
Movie,"Strip Down, Rise Up",2021,R,Documentaries,113.0,0,2,18.0
Movie,The Last Paradiso,2020,TV-MA,"Dramas, International Movies, Romantic Movies",107.0,0,2,7.0
Movie,The Yin-Yang Master: Dream Of Eternity,2021,TV-14,"Action & Adventure, International Movies",133.0,0,2,0.0
Movie,All My Friends Are Dead,2020,TV-MA,"Comedies, Dramas, International Movies",97.0,0,2,7.0
Movie,Black Beach,2020,TV-MA,"Action & Adventure, International Movies",116.0,0,2,13.0
TV Show,Firefly Lane,2021,TV-MA,"Romantic TV Shows, TV Dramas",0.0,1,3,2.0
TV Show,"Pablo Escobar, el patrón del mal",2012,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.0,1,3,11.0
TV Show,Power Rangers Ninja Steel,2018,TV-Y7,Kids' TV,0.0,2,3,13.0
Movie,"Our Lady of San Juan, Four Centuries of Miracles",2020,TV-PG,"Dramas, Faith & Spirituality, International Movies",123.0,0,2,1.0
TV Show,Tiffany Haddish Presents: They Ready,2021,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",0.0,2,3,15.0
Movie,Beverly Hills Ninja,1997,PG-13,"Action & Adventure, Comedies",89.0,0,1,1.0
TV Show,Heartland,2019,TV-14,TV Dramas,0.0,13,0,1.0
TV Show,Love Daily,2018,TV-14,"Romantic TV Shows, Teen TV Shows",0.0,1,3,17.0
TV Show,My Dead Ex,2018,TV-14,"TV Comedies, Teen TV Shows",0.0,1,3,17.0
Movie,Rocks,2019,TV-MA,Dramas,93.0,0,2,3.0
Movie,Shutter Island,2010,R,Thrillers,139.0,0,2,11.0
Movie,The Bank Job,2008,R,"Dramas, International Movies, Thrillers",112.0,0,2,10.0
TV Show,The House Arrest of Us,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,1,3,15.0
TV Show,The Unsettling,2019,TV-14,"TV Horror, Teen TV Shows",0.0,1,3,6.0
TV Show,Total Drama,2015,TV-PG,"Kids' TV, TV Comedies",0.0,7,0,1.0
TV Show,Zac and Mia,2019,TV-14,"Romantic TV Shows, TV Dramas, Teen TV Shows",0.0,2,3,10.0
Movie,Zathura,2005,PG,"Children & Family Movies, Sci-Fi & Fantasy",101.0,0,2,2.0
TV Show,Zig & Sharko,2019,TV-Y7,"Kids' TV, TV Comedies",0.0,2,3,13.0
Movie,Fatima,2020,PG-13,"Dramas, Faith & Spirituality",113.0,0,2,9.0
Movie,Hell Fest,2018,R,Horror Movies,89.0,0,2,11.0
Movie,Below Zero,2021,TV-MA,"Action & Adventure, International Movies",107.0,0,2,13.0
Movie,Finding ‘Ohana,2021,PG,"Children & Family Movies, Comedies",123.0,0,2,2.0
Movie,The Dig,2021,PG-13,"Dramas, International Movies",113.0,0,2,9.0
TV Show,We Are: The Brooklyn Saints,2021,TV-14,Docuseries,0.0,1,3,6.0
Movie,June & Kopi,2021,TV-PG,"Children & Family Movies, Dramas, International Movies",90.0,0,2,1.0
TV Show,50M2,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",0.0,1,3,2.0
Movie,Accomplice,2021,TV-14,"Documentaries, International Movies, Sports Movies",52.0,0,2,12.0
TV Show,BONDING,2021,TV-MA,"TV Comedies, TV Dramas",0.0,2,3,16.0
Movie,Kilometers and Kilometers,2020,TV-MA,"Comedies, Dramas, Independent Movies",127.0,0,2,3.0
TV Show,Outlander,2018,TV-MA,"Romantic TV Shows, TV Action & Adventure, TV Dramas",0.0,4,0,0.0
Movie,Penguin Bloom,2021,TV-14,"Children & Family Movies, Dramas",95.0,0,2,15.0
Movie,Black Rose,2018,TV-14,"Dramas, International Movies",121.0,0,2,15.0
TV Show,Go Dog Go,2021,TV-Y,Kids' TV,0.0,1,3,4.0
Movie,Hire a Woman,2019,TV-14,"Comedies, International Movies, Romantic Movies",108.0,0,2,4.0
Movie,She Is,2019,TV-PG,"Dramas, International Movies, Romantic Movies",102.0,0,2,1.0
TV Show,Blown Away,2021,TV-14,"International TV Shows, Reality TV",0.0,2,3,5.0
TV Show,Busted!,2021,TV-14,"Crime TV Shows, International TV Shows, Korean TV Shows",0.0,3,3,8.0
TV Show,Demon Slayer: Kimetsu no Yaiba,2019,TV-14,"Anime Series, International TV Shows",0.0,1,3,9.0
Movie,So My Grandma’s a Lesbian!,2020,TV-MA,"Comedies, International Movies, LGBTQ Movies",95.0,0,2,6.0
Movie,The Next Three Days,2010,PG-13,"Dramas, Thrillers",133.0,0,2,9.0
Movie,The White Tiger,2021,R,Dramas,127.0,0,2,10.0
Movie,Friendsgiving,2020,R,Comedies,95.0,0,2,11.0
Movie,The Shadow of Violence,2020,R,Dramas,101.0,0,2,10.0
Movie,Cut Throat City,2020,R,Dramas,123.0,0,2,10.0
TV Show,Daughter From Another Mother,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",0.0,1,3,15.0
Movie,Sightless,2020,TV-14,Thrillers,89.0,0,2,0.0
TV Show,Spycraft,2021,TV-MA,"Docuseries, Science & Nature TV",0.0,1,3,14.0
TV Show,Hello Ninja,2021,TV-Y,Kids' TV,0.0,4,0,0.0
Movie,Homefront,2013,R,Action & Adventure,100.0,0,2,11.0
Movie,A Monster Calls,2016,PG-13,"Dramas, Sci-Fi & Fantasy",108.0,0,2,9.0
Movie,Death of Me,2020,R,Horror Movies,94.0,0,2,11.0
Movie,Radium Girls,2018,TV-14,"Dramas, Independent Movies",103.0,0,2,15.0
TV Show,Bling Empire,2021,TV-MA,Reality TV,0.0,1,3,5.0
TV Show,Carmen Sandiego,2021,TV-Y7,"Kids' TV, TV Thrillers",0.0,4,0,0.0
TV Show,Disenchantment,2021,TV-14,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy",0.0,3,3,8.0
Movie,Double Dad,2020,TV-G,"Children & Family Movies, Comedies, Dramas",105.0,0,2,2.0
TV Show,Henry Danger,2016,TV-G,"Kids' TV, TV Comedies",0.0,3,3,8.0
Movie,Outside the Wire,2021,R,Action & Adventure,116.0,0,2,11.0
Movie,Penguins of Madagascar: The Movie,2014,PG,"Children & Family Movies, Comedies",92.0,0,2,2.0
Movie,Pinkfong & Baby Shark's Space Adventure,2019,TV-Y,Children & Family Movies,65.0,0,2,16.0
TV Show,The Magicians,2020,TV-MA,"TV Dramas, TV Sci-Fi & Fantasy",0.0,5,0,0.0
Movie,The Vanished,2020,R,Thrillers,115.0,0,2,11.0
Movie,Tribhanga - Tedhi Medhi Crazy,2021,TV-MA,"Dramas, International Movies",96.0,0,2,7.0
Movie,What Would Sophia Loren Do?,2021,TV-14,Documentaries,32.0,0,2,12.0
Movie,Wish You,2021,TV-PG,"Dramas, International Movies, LGBTQ Movies",102.0,0,2,1.0
Movie,Tanda Tanya,2011,TV-MA,"Dramas, International Movies",102.0,0,2,7.0
Movie,The Heartbreak Club,2020,TV-14,"Comedies, Dramas, International Movies",101.0,0,2,4.0
Movie,An Imperfect Murder,2017,R,"Dramas, Thrillers",71.0,0,2,10.0
TV Show,Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,"Crime TV Shows, Docuseries",0.0,1,3,14.0
Movie,Al acecho,2019,TV-MA,"International Movies, Thrillers",81.0,0,2,13.0
Movie,Chris Rock Total Blackout: The Tamborine Extended Cut,2021,TV-MA,Stand-Up Comedy,98.0,0,2,5.0
TV Show,Last Tango in Halifax,2020,TV-MA,"British TV Shows, Romantic TV Shows, TV Dramas",0.0,4,0,0.0
Movie,"Crack: Cocaine, Corruption & Conspiracy",2021,TV-MA,Documentaries,90.0,0,2,17.0
Movie,The Intouchables,2011,R,"Comedies, Dramas, International Movies",112.0,0,2,10.0
Movie,Apaharan,2005,TV-14,"Dramas, International Movies",161.0,0,2,15.0
Movie,BluffMaster!,2005,TV-14,"Comedies, International Movies, Romantic Movies",129.0,0,2,4.0
Movie,Charming,2021,TV-Y7,"Children & Family Movies, Comedies",85.0,0,2,16.0
Movie,Creating The Queen's Gambit,2021,TV-14,Documentaries,14.0,0,2,12.0
Movie,Gangaajal,2003,TV-MA,"Dramas, International Movies",148.0,0,2,7.0
TV Show,Inside the World’s Toughest Prisons,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",0.0,5,0,0.0
Movie,Is Love Enough? Sir,2018,TV-MA,"Dramas, Independent Movies, International Movies",99.0,0,2,7.0
TV Show,Mighty Little Bheem: Kite Festival,2021,TV-Y,"Kids' TV, TV Comedies",0.0,1,3,4.0
TV Show,Pretend It’s a City,2021,TV-14,Docuseries,0.0,1,3,6.0
Movie,Stuck Apart,2021,TV-MA,"Comedies, Dramas, International Movies",97.0,0,2,7.0
TV Show,The Idhun Chronicles,2021,TV-14,"Anime Series, International TV Shows, Spanish-Language TV Shows",0.0,2,3,9.0
Movie,100% Halal,2020,TV-14,"Dramas, International Movies",101.0,0,2,15.0
Movie,Leap!,2016,PG,"Children & Family Movies, Comedies",89.0,0,2,2.0
Movie,Pieces of a Woman,2020,R,Dramas,128.0,0,2,10.0
Movie,Ratones Paranoicos: The Band that Rocked Argentina,2021,TV-MA,"Documentaries, International Movies, Music & Musicals",76.0,0,2,17.0
TV Show,Surviving Death,2021,TV-MA,"Docuseries, Reality TV",0.0,1,3,14.0
Movie,Tony Parker: The Final Shot,2020,TV-14,"Documentaries, International Movies, Sports Movies",99.0,0,2,12.0
TV Show,History of Swear Words,2021,TV-MA,"Docuseries, TV Comedies",0.0,1,3,14.0
TV Show,Nailed It! Mexico,2021,TV-PG,"International TV Shows, Reality TV, Spanish-Language TV Shows",0.0,3,3,8.0
Movie,Hello Brother,1999,TV-14,"Action & Adventure, Comedies, International Movies",126.0,0,1,1.0
TV Show,Korean Pork Belly Rhapsody,2020,TV-G,"Docuseries, International TV Shows",0.0,1,3,7.0
TV Show,QB1: Beyond the Lights,2019,TV-14,Docuseries,0.0,1,3,6.0
Movie,Playing for Keeps,2012,PG-13,"Comedies, Romantic Movies, Sports Movies",106.0,0,2,14.0
Movie,Asphalt Burning,2020,TV-14,"Action & Adventure, Comedies, International Movies",101.0,0,2,4.0
Movie,Bad Grandpa .5,2014,TV-MA,Comedies,87.0,0,2,6.0
Movie,Case 39,2009,R,"Horror Movies, Thrillers",111.0,0,2,11.0
TV Show,Cobra Kai,2021,TV-14,"TV Action & Adventure, TV Comedies, TV Dramas",0.0,3,3,8.0
TV Show,Dream Home Makeover,2021,TV-G,Reality TV,0.0,2,3,5.0
Movie,Eddie Murphy: Raw,1987,R,Stand-Up Comedy,90.0,0,1,1.0
Movie,Full Out 2: You Got This!,2020,TV-Y,"Children & Family Movies, Dramas, Sports Movies",91.0,0,2,16.0
Movie,Gimme Shelter,2013,PG-13,"Dramas, Independent Movies",101.0,0,2,9.0
Movie,Good Burger,1997,PG,"Children & Family Movies, Comedies",96.0,0,1,1.0
Movie,Good Hair,2009,PG-13,Documentaries,96.0,0,2,14.0
TV Show,Headspace Guide to Meditation,2021,TV-G,"Docuseries, Science & Nature TV",0.0,1,3,3.0
Movie,Into the Wild,2007,R,"Action & Adventure, Dramas, Independent Movies",148.0,0,2,10.0
TV Show,Jenni Rivera: Mariposa de Barrio,2017,TV-MA,"Spanish-Language TV Shows, TV Dramas",0.0,1,3,2.0
Movie,London Heist,2017,R,Action & Adventure,96.0,0,2,11.0
Movie,Mean Girls 2,2011,PG-13,Comedies,98.0,0,2,14.0
TV Show,Monarca,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",0.0,2,3,2.0
Movie,Mystic Pizza,1988,R,"Comedies, Dramas, Independent Movies",104.0,0,1,1.0
TV Show,Running Man,2020,TV-Y7,"Kids' TV, TV Comedies",0.0,1,3,13.0
TV Show,The Cat in the Hat Knows a Lot About That!,2014,TV-Y,Kids' TV,0.0,1,3,4.0
Movie,The Creative Brain,2019,TV-14,Documentaries,53.0,0,2,12.0
TV Show,The Haunted Hathaways,2013,TV-G,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",0.0,2,3,13.0
Movie,The Minimalists: Less Is Now,2021,TV-14,Documentaries,54.0,0,2,12.0
Movie,Unknown,2011,PG-13,"Action & Adventure, Thrillers",113.0,0,2,14.0
Movie,What Happened to Mr. Cha?,2021,TV-MA,"Comedies, International Movies",102.0,0,2,6.0
Movie,What's Eating Gilbert Grape,1993,PG-13,"Classic Movies, Dramas, Independent Movies",118.0,0,1,1.0
Movie,Alaska Is a Drag,2017,TV-MA,"Dramas, LGBTQ Movies",83.0,0,2,3.0
Movie,Best of Stand-Up 2020,2020,TV-MA,Stand-Up Comedy,77.0,0,2,5.0
Movie,Bobby Jasoos,2014,TV-14,"Comedies, Dramas, International Movies",116.0,0,2,4.0
TV Show,Chilling Adventures of Sabrina,2020,TV-14,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",0.0,4,0,0.0
Movie,Tarung Sarung,2020,TV-PG,"Action & Adventure, Dramas, Faith & Spirituality",116.0,0,2,1.0
Movie,Too Handsome to Handle,2019,TV-14,"Comedies, Dramas, International Movies",106.0,0,2,4.0
TV Show,Best Leftovers Ever!,2020,TV-G,Reality TV,0.0,1,3,5.0
TV Show,Dare Me,2019,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers",0.0,1,3,2.0
TV Show,Equinox,2020,TV-MA,"International TV Shows, TV Mysteries, TV Thrillers",0.0,1,3,1.0
TV Show,SanPa: Sins of the Savior,2020,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",0.0,1,3,14.0
TV Show,Still Game,2018,TV-14,"British TV Shows, Classic & Cult TV, International TV Shows",0.0,9,0,1.0
Movie,The Rope Curse 2,2020,TV-MA,"Horror Movies, International Movies",105.0,0,2,13.0
TV Show,Transformers: War for Cybertron: Earthrise,2020,TV-Y7,Anime Series,0.0,1,3,13.0
TV Show,A Love So Beautiful,2020,TV-PG,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,1,3,0.0
Movie,Cops and Robbers,2020,PG-13,Dramas,8.0,0,2,16.0
Movie,Rango,2011,PG,"Children & Family Movies, Comedies",110.0,0,2,2.0
Movie,Death to 2020,2020,TV-MA,Comedies,71.0,0,2,6.0
TV Show,Sakho & Mangane,2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,DNA,2020,TV-MA,"Dramas, International Movies",91.0,0,2,7.0
TV Show,Regiment Diaries,2020,TV-PG,"Docuseries, International TV Shows",0.0,2,3,7.0
Movie,The Magic School Bus Rides Again In the Zone,2020,TV-Y,Children & Family Movies,46.0,0,2,16.0
Movie,AK vs AK,2020,TV-MA,"Comedies, Dramas, International Movies",109.0,0,2,7.0
TV Show,Bridgerton,2020,TV-MA,"Romantic TV Shows, TV Dramas",0.0,1,3,2.0
Movie,Isa Pa with Feelings,2019,TV-G,"International Movies, Romantic Movies",102.0,0,2,18.0
Movie,We Can Be Heroes,2020,PG,"Children & Family Movies, Comedies",101.0,0,2,2.0
Movie,Bridezilla,2019,TV-MA,"Comedies, Dramas, International Movies",94.0,0,2,7.0
Movie,Cemara's Family,2018,TV-G,"Children & Family Movies, Dramas, International Movies",110.0,0,2,7.0
Movie,"Hello, Love, Goodbye",2019,TV-14,"Dramas, International Movies, Romantic Movies",117.0,0,2,15.0
Movie,The History of Future Folk,2012,TV-14,"Action & Adventure, Comedies, Independent Movies",85.0,0,2,4.0
Movie,The Midnight Sky,2020,PG-13,Dramas,119.0,0,2,9.0
Movie,Your Name Engraved Herein,2020,TV-MA,"Dramas, International Movies, LGBTQ Movies",115.0,0,2,7.0
Movie,After We Collided,2020,R,"Dramas, Romantic Movies",105.0,0,2,10.0
Movie,London Hughes: To Catch a D*ck,2020,TV-MA,Stand-Up Comedy,68.0,0,2,5.0
TV Show,Lovestruck in the City,2020,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,1,3,17.0
Movie,QLIMAX THE SOURCE,2020,TV-14,Music & Musicals,57.0,0,2,12.0
TV Show,Rhyme Time Town Singalongs,2020,TV-Y,Kids' TV,0.0,1,3,4.0
TV Show,Shaun the Sheep,2016,TV-Y,"British TV Shows, Kids' TV, TV Comedies",0.0,2,3,4.0
Movie,Shaun the Sheep: The Farmer’s Llamas,2020,TV-Y,"Children & Family Movies, Comedies",28.0,0,2,16.0
TV Show,Timmy Time,2010,TV-Y,"British TV Shows, Kids' TV",0.0,1,3,4.0
Movie,"Ariana grande: excuse me, i love you",2020,TV-MA,"Documentaries, Music & Musicals",98.0,0,2,17.0
Movie,The Con Is On,2018,R,Comedies,95.0,0,2,11.0
Movie,Mohamed Hussein,2019,TV-14,"Comedies, International Movies",96.0,0,2,4.0
Movie,Rhys Nicholson Live at the Athenaeum,2020,TV-MA,Stand-Up Comedy,66.0,0,2,5.0
Movie,Atlas Shrugged: Part II,2012,PG-13,Dramas,112.0,0,2,9.0
TV Show,Diamond City,2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,Guest House,2020,R,Comedies,84.0,0,2,11.0
TV Show,Home for Christmas,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,2,3,15.0
Movie,Ma Rainey's Black Bottom,2020,R,"Dramas, Music & Musicals",94.0,0,2,10.0
Movie,Ma Rainey's Black Bottom: A Legacy Brought to Screen,2020,TV-PG,"Documentaries, Music & Musicals",32.0,0,2,8.0
Movie,Mukhsin,2006,TV-PG,"Children & Family Movies, Comedies, Dramas",98.0,0,2,2.0
TV Show,Paava Kadhaigal,2020,TV-MA,"International TV Shows, TV Dramas",0.0,1,3,2.0
Movie,Rabun,2004,TV-PG,"Dramas, Independent Movies, International Movies",85.0,0,2,1.0
Movie,Talentime,2009,TV-14,"Dramas, International Movies, Romantic Movies",120.0,0,2,15.0
Movie,An Unremarkable Christmas,2020,TV-14,"Comedies, Dramas, International Movies",83.0,0,2,4.0
Movie,Braven,2018,R,Action & Adventure,94.0,0,2,11.0
Movie,Eggnoid: Love & Time Portal,2019,TV-14,"Dramas, International Movies, Romantic Movies",102.0,0,2,15.0
Movie,Love You to the Stars and Back,2017,TV-14,"Comedies, International Movies, Romantic Movies",111.0,0,2,4.0
TV Show,Morphle,2020,TV-Y,"British TV Shows, Kids' TV",0.0,2,3,4.0
TV Show,Run On,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",0.0,1,3,15.0
Movie,Sakaling Maging Tayo,2019,TV-14,"International Movies, Romantic Movies",90.0,0,2,0.0
TV Show,Schulz Saves America,2020,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",0.0,1,3,15.0
Movie,The Wedding Shaman,2019,TV-PG,"Dramas, International Movies, Romantic Movies",111.0,0,2,1.0
TV Show,Anitta: Made In Honório,2020,TV-MA,"Docuseries, International TV Shows",0.0,1,3,14.0
TV Show,BREAK IT ALL: The History of Rock in Latin America,2020,TV-MA,"Docuseries, Spanish-Language TV Shows",0.0,1,3,14.0
Movie,Bwakaw,2012,TV-MA,"Dramas, International Movies, LGBTQ Movies",110.0,0,2,7.0
TV Show,How To Ruin Christmas,2020,TV-MA,"International TV Shows, TV Comedies, TV Dramas",0.0,1,3,2.0
Movie,Incarnate,2016,PG-13,"Horror Movies, Thrillers",87.0,0,2,14.0
Movie,Lee Daniels' The Butler,2013,PG-13,Dramas,132.0,0,2,9.0
TV Show,Marvel Anime: Wolverine,2011,TV-14,"Anime Series, International TV Shows",0.0,1,3,9.0
TV Show,Marvel Anime: X-Men,2011,TV-14,"Anime Series, International TV Shows",0.0,1,3,9.0
Movie,Nocturnal Animals,2016,R,"Dramas, Thrillers",117.0,0,2,10.0
TV Show,The Ripper,2020,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",0.0,1,3,14.0
Movie,Vir Das: Outside In - The Lockdown Special,2020,TV-MA,Stand-Up Comedy,50.0,0,2,5.0
TV Show,Black Ink Crew New York,2014,TV-14,Reality TV,0.0,2,3,5.0
Movie,Grizzlies,2018,R,"Dramas, Independent Movies, Sports Movies",106.0,0,2,10.0
TV Show,Pup Academy,2020,TV-Y,"Kids' TV, TV Comedies",0.0,2,3,4.0
TV Show,Song Exploder,2020,TV-MA,Docuseries,0.0,2,3,14.0
TV Show,Teen Mom 2,2011,TV-14,Reality TV,0.0,2,3,5.0
TV Show,The Challenge,2006,TV-14,Reality TV,0.0,2,3,18.0
Movie,The Professor and the Madman,2019,TV-14,"Dramas, Independent Movies",125.0,0,2,15.0
Movie,A California Christmas,2020,PG-13,"Comedies, Romantic Movies",107.0,0,2,14.0
TV Show,Hilda,2021,TV-Y7,Kids' TV,0.0,2,3,13.0
TV Show,Tiny Pretty Things,2020,TV-MA,"TV Dramas, TV Mysteries, TV Thrillers",0.0,1,3,1.0
Movie,The Netflix Afterparty: The Best Shows of The Worst Year,2020,TV-MA,Comedies,59.0,0,2,6.0
TV Show,Children of Adam,2020,TV-14,"International TV Shows, TV Dramas, TV Thrillers",0.0,1,3,10.0
TV Show,Grizzy et les Lemmings,2018,TV-Y,"Kids' TV, TV Comedies",0.0,2,3,4.0
Movie,A Trash Truck Christmas,2020,TV-Y,Children & Family Movies,28.0,0,2,16.0
Movie,Canvas,2020,G,"Children & Family Movies, Dramas",9.0,0,2,16.0
Movie,Giving Voice,2020,PG-13,Documentaries,91.0,0,2,18.0
